GameID,Game,Player,PlayerID,Team,Is_Home,Opp
202411100DEN,DEN vs DAL,Spencer Dinwiddie,dinwisp01,DAL,0,DEN
202411100DEN,DEN vs DAL,Luka Doncic,doncilu01,DAL,0,DEN
202411100DEN,DEN vs DAL,Kessler Edwards,edwarke02,DAL,0,DEN
202411100DEN,DEN vs DAL,Daniel Gafford,gaffoda01,DAL,0,DEN
202411100DEN,DEN vs DAL,Jazian Gortman,gortmja01,DAL,0,DEN
202411100DEN,DEN vs DAL,Quentin Grimes,grimequ01,DAL,0,DEN
202411100DEN,DEN vs DAL,Jaden Hardy,hardyja02,DAL,0,DEN
202411100DEN,DEN vs DAL,Kyrie Irving,irvinky01,DAL,0,DEN
202411100DEN,DEN vs DAL,Maxi Kleber,klebima01,DAL,0,DEN
202411100DEN,DEN vs DAL,Dereck Lively II,livelde01,DAL,0,DEN
202411100DEN,DEN vs DAL,Naji Marshall,marshna01,DAL,0,DEN
202411100DEN,DEN vs DAL,Markieff Morris,morrima02,DAL,0,DEN
202411100DEN,DEN vs DAL,Dwight Powell,poweldw01,DAL,0,DEN
202411100DEN,DEN vs DAL,Olivier-Maxence Prosper,prospol01,DAL,0,DEN
202411100DEN,DEN vs DAL,Klay Thompson,thompkl01,DAL,0,DEN
202411100DEN,DEN vs DAL,P.J. Washington,washipj01,DAL,0,DEN
202411100DEN,DEN vs DAL,Brandon Williams,willibr03,DAL,0,DEN
202411100DEN,DEN vs DAL,Trey Alexander,alexatr01,DEN,1,DAL
202411100DEN,DEN vs DAL,Christian Braun,braunch01,DEN,1,DAL
202411100DEN,DEN vs DAL,Vlatko Cancar,cancavl01,DEN,1,DAL
202411100DEN,DEN vs DAL,Aaron Gordon,gordoaa01,DEN,1,DAL
202411100DEN,DEN vs DAL,Nikola Jokic,jokicni01,DEN,1,DAL
202411100DEN,DEN vs DAL,Spencer Jones,jonessp01,DEN,1,DAL
202411100DEN,DEN vs DAL,DeAndre Jordan,jordade01,DEN,1,DAL
202411100DEN,DEN vs DAL,Jamal Murray,murraja01,DEN,1,DAL
202411100DEN,DEN vs DAL,Zeke Nnaji,nnajize01,DEN,1,DAL
202411100DEN,DEN vs DAL,Jalen Pickett,pickeja02,DEN,1,DAL
202411100DEN,DEN vs DAL,Michael Porter Jr.,portemi01,DEN,1,DAL
202411100DEN,DEN vs DAL,Dario Saric,saricda01,DEN,1,DAL
202411100DEN,DEN vs DAL,Julian Strawther,strawju01,DEN,1,DAL
202411100DEN,DEN vs DAL,Hunter Tyson,tysonhu01,DEN,1,DAL
202411100DEN,DEN vs DAL,Peyton Watson,watsope01,DEN,1,DAL
202411100DEN,DEN vs DAL,Russell Westbrook,westbru01,DEN,1,DAL
202411100DET,DET vs HOU,Steven Adams,adamsst01,HOU,0,DET
202411100DET,DET vs HOU,Dillon Brooks,brookdi01,HOU,0,DET
202411100DET,DET vs HOU,Tari Eason,easonta01,HOU,0,DET
202411100DET,DET vs HOU,Jalen Green,greenja05,HOU,0,DET
202411100DET,DET vs HOU,Jeff Green,greenje02,HOU,0,DET
202411100DET,DET vs HOU,Aaron Holiday,holidaa01,HOU,0,DET
202411100DET,DET vs HOU,Jock Landale,landajo01,HOU,0,DET
202411100DET,DET vs HOU,Jack McVeigh,mcveija01,HOU,0,DET
202411100DET,DET vs HOU,Alperen Sengun,sengual01,HOU,0,DET
202411100DET,DET vs HOU,Reed Sheppard,sheppre01,HOU,0,DET
202411100DET,DET vs HOU,Jabari Smith Jr.,smithja05,HOU,0,DET
202411100DET,DET vs HOU,Jae'Sean Tate,tateja01,HOU,0,DET
202411100DET,DET vs HOU,Amen Thompson,thompam01,HOU,0,DET
202411100DET,DET vs HOU,Fred VanVleet,vanvlfr01,HOU,0,DET
202411100DET,DET vs HOU,Cam Whitmore,whitmca01,HOU,0,DET
202411100DET,DET vs HOU,Jeenathan Williams,willije02,HOU,0,DET
202411100DET,DET vs HOU,Malik Beasley,beaslma01,DET,1,HOU
202411100DET,DET vs HOU,Cade Cunningham,cunnica01,DET,1,HOU
202411100DET,DET vs HOU,Jalen Duren,durenja01,DET,1,HOU
202411100DET,DET vs HOU,Simone Fontecchio,fontesi01,DET,1,HOU
202411100DET,DET vs HOU,Tim Hardaway Jr.,hardati02,DET,1,HOU
202411100DET,DET vs HOU,Tobias Harris,harrito02,DET,1,HOU
202411100DET,DET vs HOU,Ron Holland,hollaro01,DET,1,HOU
202411100DET,DET vs HOU,Jaden Ivey,iveyja01,DET,1,HOU
202411100DET,DET vs HOU,Daniss Jenkins,jenkida01,DET,1,HOU
202411100DET,DET vs HOU,Wendell Moore Jr.,moorewe01,DET,1,HOU
